file	codonmutation	samplelabel	time	replicate
Specimen_001_Tube_007_007	WT-TTG8	Rich	12	1
Specimen_001_Tube_008_008	WT-TTG8	-Leu	12	1
Specimen_001_Tube_009_009	WT-TTG8	-Arg	12	1
Specimen_001_Tube_010_010	GCN2KO-TTG8	Rich	12	1
Specimen_001_Tube_011_011	GCN2KO-TTG8	-Leu	12	1
Specimen_001_Tube_012_012	GCN2KO-TTG8	-Arg	12	1
Specimen_001_Tube_019_019	WT-CTA8	Rich	12	1
Specimen_001_Tube_020_020	WT-CTA8	-Leu	12	1
Specimen_001_Tube_021_021	WT-CTA8	-Arg	12	1
Specimen_001_Tube_022_022	GCN2KO-CTA8	Rich	12	1
Specimen_001_Tube_023_023	GCN2KO-CTA8	-Leu	12	1
Specimen_001_Tube_024_024	GCN2KO-CTA8	-Arg	12	1
Specimen_002_Tube_007_031	WT-TTG8	Rich	24	1
Specimen_002_Tube_008_032	WT-TTG8	-Leu	24	1
Specimen_002_Tube_009_033	WT-TTG8	-Arg	24	1
Specimen_002_Tube_010_034	GCN2KO-TTG8	Rich	24	1
Specimen_002_Tube_011_035	GCN2KO-TTG8	-Leu	24	1
Specimen_002_Tube_012_036	GCN2KO-TTG8	-Arg	24	1
Specimen_002_Tube_019_043	WT-CTA8	Rich	24	1
Specimen_002_Tube_020_044	WT-CTA8	-Leu	24	1
Specimen_002_Tube_021_045	WT-CTA8	-Arg	24	1
Specimen_002_Tube_022_046	GCN2KO-CTA8	Rich	24	1
Specimen_002_Tube_023_047	GCN2KO-CTA8	-Leu	24	1
Specimen_002_Tube_024_048	GCN2KO-CTA8	-Arg	24	1
Specimen_003_Tube_007_055	WT-TTG8	Rich	48	1
Specimen_003_Tube_008_056	WT-TTG8	-Leu	48	1
Specimen_003_Tube_009_057	WT-TTG8	-Arg	48	1
Specimen_003_Tube_010_058	GCN2KO-TTG8	Rich	48	1
Specimen_003_Tube_011_059	GCN2KO-TTG8	-Leu	48	1
Specimen_003_Tube_012_060	GCN2KO-TTG8	-Arg	48	1
Specimen_003_Tube_019_067	WT-CTA8	Rich	48	1
Specimen_003_Tube_020_068	WT-CTA8	-Leu	48	1
Specimen_003_Tube_021_069	WT-CTA8	-Arg	48	1
Specimen_003_Tube_022_070	GCN2KO-CTA8	Rich	48	1
Specimen_003_Tube_023_071	GCN2KO-CTA8	-Leu	48	1
Specimen_003_Tube_024_072	GCN2KO-CTA8	-Arg	48	1
