transcript_id	length	gene_name	counts
ENST00000229239.9	1008	GAPDH	34982.7
ENST00000331789.9	1128	ACTB	33877.2
ENST00000309268.10	1389	EEF1A1	29731.7
ENST00000316084.9	792	RPS4X	28871.8
ENST00000512805.5	954	GNB2L1	24698.3
ENST00000296930.9	885	NPM1	23854.8
ENST00000336023.9	1356	TUBA1B	22962.2
ENST00000331925.6	1128	ACTG1	21952.5
ENST00000234590.8	1305	ENO1	21586.5
ENST00000309311.6	2577	EEF2	21155.1
ENST00000216281.12	2199	HSP90AA1	20826.7
ENST00000293831.12	1221	EIF4A1	19002.4
ENST00000370321.7	894	RPL5	18246.8
ENST00000227378.7	1941	HSPA8	18097.7
ENST00000353801.7	2175	HSP90AB1	18087.2
ENST00000350669.5	1005	LDHB	17752.7
ENST00000327892.12	1335	TUBB	17642.2
ENST00000356674.7	1026	HNRNPA2B1	17611.2
ENST00000202773.13	867	RPL6	17576
ENST00000578186.2	312	HIST2H4A	16898.9
ENST00000307961.10	1284	RPL4	16100.5
ENST00000369159.2	393	HIST2H2AA3	16048.2
ENST00000345042.6	1722	HSPD1	15886.2
ENST00000302182.7	690	UBB	15180.9
ENST00000304921.9	585	RPS7	15179.5
ENST00000379412.9	999	LDHA	15132.7
ENST00000344746.8	645	RPL10	15124.9
ENST00000372360.7	402	RPS24	14859.9
ENST00000262584.7	774	RPL8	14800.4
ENST00000274065.8	795	RPS3A	14528
ENST00000524851.5	732	RPS3	14032.5
ENST00000323345.10	801	RPL7A	13901.9
ENST00000546500.5	963	HNRNPA1	13860.1
ENST00000392369.6	651	RAN	13598.7
ENST00000253788.9	411	RPL27	13072.9
ENST00000326199.12	498	RPS10	13024.2
ENST00000329251.4	1314	EEF1G	13022.5
ENST00000369155.3	381	HIST2H2BE	12835.8
ENST00000338110.9	1095	ALDOA	12730.1
ENST00000376263.7	1395	HNRNPK	12446.8
ENST00000293842.9	438	RPL26	12409.6
ENST00000262030.7	1590	ATP5B	12261.5
ENST00000592588.6	438	RPS15	12195.7
ENST00000396651.7	627	RPS8	12091.4
ENST00000468812.5	498	PPIA	12069.1
ENST00000621411.1	411	HIST1H3B	12023.1
