"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"1"	"GO:0046982"	"protein heterodimerization activity"	466	63	NA	"2.2e-13"
"2"	"GO:0003677"	"DNA binding"	2376	180	NA	"5.6e-10"
"3"	"GO:0005261"	"cation channel activity"	304	42	NA	"1.3e-09"
"4"	"GO:0005249"	"voltage-gated potassium channel activity"	89	21	NA	"1.4e-09"
"5"	"GO:0022836"	"gated channel activity"	326	43	NA	"3.4e-09"
"6"	"GO:0022843"	"voltage-gated cation channel activity"	131	25	NA	"4.5e-09"
"7"	"GO:0005244"	"voltage-gated ion channel activity"	192	30	NA	"1.8e-08"
"8"	"GO:0022832"	"voltage-gated channel activity"	192	30	NA	"1.8e-08"
"9"	"GO:0005216"	"ion channel activity"	415	48	NA	"3.1e-08"
"10"	"GO:0005267"	"potassium channel activity"	125	23	NA	"3.8e-08"
"11"	"GO:0022838"	"substrate-specific channel activity"	425	48	NA	"6.5e-08"
"12"	"GO:0004935"	"adrenergic receptor activity"	10	7	NA	"7.1e-08"
"13"	"GO:0015267"	"channel activity"	454	49	NA	"1.9e-07"
"14"	"GO:0022803"	"passive transmembrane transporter activi..."	455	49	NA	"2.1e-07"
"15"	"GO:0015079"	"potassium ion transmembrane transporter ..."	158	24	NA	"8.0e-07"
"16"	"GO:0022890"	"inorganic cation transmembrane transport..."	530	52	NA	"1.6e-06"
"17"	"GO:0008324"	"cation transmembrane transporter activit..."	637	59	NA	"2.0e-06"
"18"	"GO:0004872"	"receptor activity"	1546	116	NA	"2.0e-06"
"19"	"GO:0060089"	"molecular transducer activity"	1546	116	NA	"2.0e-06"
"20"	"GO:0046983"	"protein dimerization activity"	1161	92	NA	"3.0e-06"
"21"	"GO:0099600"	"transmembrane receptor activity"	1244	97	NA	"3.2e-06"
"22"	"GO:0042923"	"neuropeptide binding"	21	8	NA	"3.8e-06"
"23"	"GO:0004888"	"transmembrane signaling receptor activit..."	1194	92	NA	"9.4e-06"
"24"	"GO:0015077"	"monovalent inorganic cation transmembran..."	352	37	NA	"1.1e-05"
"25"	"GO:0008528"	"G-protein coupled peptide receptor activ..."	127	19	NA	"1.4e-05"
"26"	"GO:0033218"	"amide binding"	262	30	NA	"1.5e-05"
"27"	"GO:0001653"	"peptide receptor activity"	128	19	NA	"1.6e-05"
"28"	"GO:0046873"	"metal ion transmembrane transporter acti..."	428	42	NA	"1.6e-05"
"29"	"GO:0038023"	"signaling receptor activity"	1299	97	NA	"1.9e-05"
"30"	"GO:0004930"	"G-protein coupled receptor activity"	796	66	NA	"2.0e-05"
"31"	"GO:0005198"	"structural molecule activity"	672	58	NA	"2.1e-05"
"32"	"GO:0000981"	"RNA polymerase II transcription factor a..."	675	58	NA	"2.4e-05"
"33"	"GO:0005251"	"delayed rectifier potassium channel acti..."	20	7	NA	"3.0e-05"
"34"	"GO:0015075"	"ion transmembrane transporter activity"	845	68	NA	"3.9e-05"
"35"	"GO:0042393"	"histone binding"	185	23	NA	"4.0e-05"
"36"	"GO:0003676"	"nucleic acid binding"	3814	235	NA	"4.0e-05"
"37"	"GO:0005200"	"structural constituent of cytoskeleton"	103	16	NA	"4.1e-05"
