"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"1"	"GO:0000786"	"nucleosome"	102	55	NA	"< 1e-30"
"2"	"GO:0044815"	"DNA packaging complex"	109	55	NA	"< 1e-30"
"3"	"GO:0032993"	"protein-DNA complex"	188	63	NA	"< 1e-30"
"4"	"GO:0000788"	"nuclear nucleosome"	37	23	NA	"4.8e-21"
"5"	"GO:0000785"	"chromatin"	466	78	NA	"8.2e-21"
"6"	"GO:0000790"	"nuclear chromatin"	303	51	NA	"4.4e-14"
"7"	"GO:0031012"	"extracellular matrix"	512	69	NA	"1.4e-13"
"8"	"GO:0044427"	"chromosomal part"	800	90	NA	"1.1e-12"
"9"	"GO:0000228"	"nuclear chromosome"	514	66	NA	"4.4e-12"
"10"	"GO:0044454"	"nuclear chromosome part"	482	63	NA	"6.4e-12"
"11"	"GO:0000784"	"nuclear chromosome, telomeric region"	125	28	NA	"2.6e-11"
"12"	"GO:0031226"	"intrinsic component of plasma membrane"	1572	139	NA	"6.3e-11"
"13"	"GO:0005694"	"chromosome"	906	91	NA	"4.0e-10"
"14"	"GO:0000781"	"chromosome, telomeric region"	160	29	NA	"2.4e-09"
"15"	"GO:0005887"	"integral component of plasma membrane"	1510	129	NA	"3.1e-09"
"16"	"GO:0044459"	"plasma membrane part"	2469	187	NA	"8.7e-09"
"17"	"GO:0005578"	"proteinaceous extracellular matrix"	348	43	NA	"7.9e-08"
"18"	"GO:0034705"	"potassium channel complex"	91	18	NA	"6.8e-07"
"19"	"GO:1902495"	"transmembrane transporter complex"	312	37	NA	"1.7e-06"
"20"	"GO:0034702"	"ion channel complex"	276	34	NA	"1.9e-06"
"21"	"GO:0008076"	"voltage-gated potassium channel complex"	88	17	NA	"1.9e-06"
"22"	"GO:1990351"	"transporter complex"	318	37	NA	"2.7e-06"
"23"	"GO:0034703"	"cation channel complex"	199	27	NA	"3.6e-06"
"24"	"GO:0043005"	"neuron projection"	932	76	NA	"3.6e-05"
"25"	"GO:0097458"	"neuron part"	1277	97	NA	"5.1e-05"
"26"	"GO:0098687"	"chromosomal region"	330	34	NA	"8.6e-05"
"27"	"GO:0042734"	"presynaptic membrane"	66	12	NA	"0.00011"
